city,date,precipitation,temperature,humidity,soil_wetness,rain_7day,flood_risk,is_hot_day,consecutive_hot,heatwave_risk
Faisalabad,2020-01-01,0.0,8.76,49.35,0.35,0.0,LOW,False,0,LOW
Faisalabad,2020-01-02,0.0,11.12,45.23,0.35,0.0,LOW,False,0,LOW
Faisalabad,2020-01-03,0.0,11.61,47.18,0.35,0.0,LOW,False,0,LOW
Faisalabad,2020-01-04,0.0,12.3,48.45,0.35,0.0,LOW,False,0,LOW
Faisalabad,2020-01-05,0.22,9.69,60.86,0.35,0.22,LOW,False,0,LOW
Faisalabad,2020-01-06,10.93,8.94,86.65,0.36,11.15,LOW,False,0,LOW
Faisalabad,2020-01-07,0.3,10.62,76.7,0.37,11.450000000000001,LOW,False,0,LOW
Faisalabad,2020-01-08,0.94,9.59,66.83,0.37,12.39,LOW,False,0,LOW
Faisalabad,2020-01-09,0.0,9.59,52.63,0.37,12.39,LOW,False,0,LOW
Faisalabad,2020-01-10,0.0,8.59,42.18,0.36,12.39,LOW,False,0,LOW
Faisalabad,2020-01-11,0.0,11.56,35.49,0.36,12.39,LOW,False,0,LOW
Faisalabad,2020-01-12,0.0,11.7,39.42,0.36,12.17,LOW,False,0,LOW
Faisalabad,2020-01-13,16.45,8.12,81.19,0.38,17.689999999999998,LOW,False,0,LOW
Faisalabad,2020-01-14,0.3,8.93,71.73,0.39,17.69,LOW,False,0,LOW
Faisalabad,2020-01-15,0.0,9.56,60.98,0.39,16.750000000000004,LOW,False,0,LOW
Faisalabad,2020-01-16,0.0,11.67,51.39,0.39,16.750000000000004,LOW,False,0,LOW
Faisalabad,2020-01-17,0.0,12.54,50.34,0.39,16.750000000000004,LOW,False,0,LOW
Faisalabad,2020-01-18,0.0,12.08,49.92,0.39,16.750000000000004,LOW,False,0,LOW
Faisalabad,2020-01-19,0.0,11.94,55.17,0.39,16.750000000000004,LOW,False,0,LOW
Faisalabad,2020-01-20,0.0,11.44,55.37,0.39,0.30000000000000354,LOW,False,0,LOW
Faisalabad,2020-01-21,0.01,11.08,72.35,0.39,0.010000000000003553,LOW,False,0,LOW
Faisalabad,2020-01-22,0.0,10.52,70.45,0.38,0.010000000000003553,LOW,False,0,LOW
Faisalabad,2020-01-23,0.0,10.6,55.76,0.38,0.010000000000003553,LOW,False,0,LOW
Faisalabad,2020-01-24,0.0,11.4,41.33,0.38,0.010000000000003553,LOW,False,0,LOW
Faisalabad,2020-01-25,0.06,13.83,45.79,0.38,0.07000000000000355,LOW,False,0,LOW
Faisalabad,2020-01-26,0.0,13.75,56.8,0.38,0.07000000000000356,LOW,False,0,LOW
Faisalabad,2020-01-27,2.44,10.84,75.49,0.38,2.5100000000000033,LOW,False,0,LOW
Faisalabad,2020-01-28,7.45,12.56,89.02,0.39,9.950000000000003,LOW,False,0,LOW
Faisalabad,2020-01-29,2.13,11.41,78.57,0.4,12.080000000000004,LOW,False,0,LOW
Faisalabad,2020-01-30,0.02,11.84,68.85,0.4,12.100000000000003,LOW,False,0,LOW
Faisalabad,2020-01-31,0.0,12.8,51.33,0.4,12.100000000000003,LOW,False,0,LOW
Faisalabad,2020-02-01,0.0,12.71,47.83,0.4,12.040000000000003,LOW,False,0,LOW
Faisalabad,2020-02-02,0.0,13.43,43.42,0.39,12.040000000000003,LOW,False,0,LOW
