city,date,precipitation,temperature,humidity,soil_wetness
Karachi,2020-01-01,0.0,14.98,45.36,0.5
Karachi,2020-01-02,0.0,15.95,45.88,0.49
Karachi,2020-01-03,0.0,17.73,50.38,0.49
Karachi,2020-01-04,0.0,19.9,71.44,0.49
Karachi,2020-01-05,0.0,20.46,75.38,0.49
Karachi,2020-01-06,0.0,20.79,59.19,0.49
Karachi,2020-01-07,0.05,18.06,61.6,0.49
Karachi,2020-01-08,0.0,17.28,44.33,0.49
Karachi,2020-01-09,0.0,16.61,31.87,0.49
Karachi,2020-01-10,0.0,16.64,38.11,0.49
Karachi,2020-01-11,0.0,17.68,40.43,0.48
Karachi,2020-01-12,0.93,17.35,64.1,0.48
Karachi,2020-01-13,0.01,15.51,55.61,0.48
Karachi,2020-01-14,0.0,14.94,39.35,0.48
Karachi,2020-01-15,0.0,15.6,42.92,0.48
Karachi,2020-01-16,0.0,15.62,47.66,0.48
Karachi,2020-01-17,0.0,16.96,47.23,0.48
Karachi,2020-01-18,0.0,17.08,35.83,0.48
Karachi,2020-01-19,0.0,17.68,29.07,0.48
Karachi,2020-01-20,0.0,17.66,39.01,0.48
Karachi,2020-01-21,0.0,19.54,62.11,0.48
Karachi,2020-01-22,0.0,19.07,49.08,0.48
Karachi,2020-01-23,0.0,18.42,53.87,0.48
Karachi,2020-01-24,0.0,18.92,54.51,0.47
Karachi,2020-01-25,0.0,20.06,64.55,0.47
Karachi,2020-01-26,0.01,21.89,71.09,0.47
Karachi,2020-01-27,0.02,20.48,53.15,0.47
Karachi,2020-01-28,0.0,17.36,43.98,0.47
Karachi,2020-01-29,0.0,17.33,41.77,0.47
Karachi,2020-01-30,0.0,17.97,42.68,0.47
Karachi,2020-01-31,0.0,17.82,54.3,0.47
Karachi,2020-02-01,0.0,18.64,43.44,0.47
Karachi,2020-02-02,0.0,18.98,36.08,0.47
Karachi,2020-02-03,0.02,18.62,59.82,0.47
Karachi,2020-02-04,2.53,20.25,61.19,0.47
Karachi,2020-02-05,0.0,19.1,47.23,0.47
Karachi,2020-02-06,0.0,18.96,56.76,0.47
Karachi,2020-02-07,0.0,20.19,50.44,0.47
